source,league,season,source_name,panel_club,matched
wikipedia,bundesliga,2004/05,Arminia Bielefeld,Bielefeld,True
wikipedia,bundesliga,2004/05,Borussia Mönchengladbach,M'gladbach,True
wikipedia,bundesliga,2004/05,Hamburger SV,Hamburg,True
wikipedia,bundesliga,2004/05,FC Hansa Rostock,Hansa Rostock,True
wikipedia,bundesliga,2004/05,1.FC Kaiserslautern,Kaiserslautern,True
wikipedia,bundesliga,2004/05,FC Schalke 04,Schalke 04,True
wikipedia,bundesliga,2005/06,Bayer 04 Leverkusen,Leverkusen,True
wikipedia,bundesliga,2005/06,Hannover 96,Hannover,True
wikipedia,bundesliga,2005/06,1.FC Kaiserslautern,Kaiserslautern,True
wikipedia,bundesliga,2005/06,1.FC Köln,FC Koln,True
wikipedia,bundesliga,2005/06,MSV Duisburg,Duisburg,True
wikipedia,bundesliga,2005/06,1.FC Nuremberg,Nurnberg,True
wikipedia,bundesliga,2005/06,FC Schalke 04,Schalke 04,True
wikipedia,bundesliga,2005/06,VfB Stuttgart,Stuttgart,True
wikipedia,bundesliga,2005/06,VfL Wolfsburg,Wolfsburg,True
wikipedia,bundesliga,2006/07,Alemannia Aachen,Aachen,True
wikipedia,bundesliga,2006/07,Arminia Bielefeld,Bielefeld,True
wikipedia,bundesliga,2006/07,Bayern Munich,Bayern Munich,True
wikipedia,bundesliga,2006/07,Borussia Dortmund,Dortmund,True
wikipedia,bundesliga,2006/07,Borussia Mönchengladbach,M'gladbach,True
wikipedia,bundesliga,2006/07,Hamburger SV,Hamburg,True
wikipedia,bundesliga,2006/07,Hannover 96,Hannover,True
wikipedia,bundesliga,2006/07,Hertha BSC,Hertha,True
wikipedia,bundesliga,2007/08,Arminia Bielefeld,Bielefeld,True
wikipedia,bundesliga,2007/08,Energie Cottbus,Cottbus,True
wikipedia,bundesliga,2007/08,Hertha BSC,Hertha,True
wikipedia,bundesliga,2007/08,FC Schalke 04,Schalke 04,True
wikipedia,bundesliga,2007/08,VfL Wolfsburg,Wolfsburg,True
wikipedia,bundesliga,2008/09,Arminia Bielefeld,Bielefeld,True
wikipedia,bundesliga,2008/09,Bayer Leverkusen,Leverkusen,True
wikipedia,bundesliga,2008/09,Bayern Munich,Bayern Munich,True
wikipedia,bundesliga,2008/09,Borussia Dortmund,Dortmund,True
wikipedia,bundesliga,2008/09,Borussia Mönchengladbach,M'gladbach,True
wikipedia,bundesliga,2008/09,Hamburger SV,Hamburg,True
wikipedia,bundesliga,2008/09,Schalke 04,Schalke 04,True
wikipedia,bundesliga,2008/09,VfB Stuttgart,Stuttgart,True
wikipedia,bundesliga,2009/10,Bayer Leverkusen,Leverkusen,True
wikipedia,bundesliga,2009/10,Bayern Munich,Bayern Munich,True
wikipedia,bundesliga,2009/10,VfL Bochum,Bochum,True
wikipedia,bundesliga,2009/10,Borussia Mönchengladbach,M'gladbach,True
wikipedia,bundesliga,2009/10,Eintracht Frankfurt,Ein Frankfurt,True
wikipedia,bundesliga,2009/10,Hamburger SV,Hamburg,True
wikipedia,bundesliga,2009/10,Hannover 96,Hannover,True
wikipedia,bundesliga,2009/10,Hertha BSC,Hertha,True
wikipedia,bundesliga,2009/10,1. FC Köln,FC Koln,True
wikipedia,bundesliga,2009/10,Mainz 05,Mainz,True
wikipedia,bundesliga,2009/10,1. FC Nürnberg,Nurnberg,True
wikipedia,bundesliga,2009/10,Schalke 04,Schalke 04,True
wikipedia,bundesliga,2009/10,VfB Stuttgart,Stuttgart,True
wikipedia,bundesliga,2009/10,VfL Wolfsburg,Wolfsburg,True
wikipedia,bundesliga,2010/11,1899 Hoffenheim,Hoffenheim,True
wikipedia,bundesliga,2010/11,Bayern Munich,Bayern Munich,True
wikipedia,bundesliga,2010/11,Borussia Mönchengladbach,M'gladbach,True
wikipedia,bundesliga,2010/11,Eintracht Frankfurt,Ein Frankfurt,True
wikipedia,bundesliga,2010/11,Hamburger SV,Hamburg,True
wikipedia,bundesliga,2010/11,1. FC Köln,FC Koln,True
wikipedia,bundesliga,2010/11,Schalke 04,Schalke 04,True
wikipedia,bundesliga,2010/11,VfB Stuttgart,Stuttgart,True
wikipedia,bundesliga,2010/11,VfL Wolfsburg,Wolfsburg,True
wikipedia,bundesliga,2011/12,1899 Hoffenheim,Hoffenheim,True
wikipedia,bundesliga,2011/12,Bayer Leverkusen,Leverkusen,True
wikipedia,bundesliga,2011/12,Bayern Munich,Bayern Munich,True
wikipedia,bundesliga,2011/12,SC Freiburg,Freiburg,True
wikipedia,bundesliga,2011/12,Hamburger SV,Hamburg,True
wikipedia,bundesliga,2011/12,Hertha BSC,Hertha,True
wikipedia,bundesliga,2011/12,1. FC Kaiserslautern,Kaiserslautern,True
wikipedia,bundesliga,2011/12,1. FC Köln,FC Koln,True
wikipedia,bundesliga,2011/12,FC Schalke 04,Schalke 04,True
wikipedia,bundesliga,2012/13,TSG 1899 Hoffenheim,Hoffenheim,True
wikipedia,bundesliga,2012/13,FC Augsburg,Augsburg,True
wikipedia,bundesliga,2012/13,Greuther Fürth,Greuther Furth,True
wikipedia,bundesliga,2012/13,1. FC Nürnberg,Nurnberg,True
wikipedia,bundesliga,2012/13,Schalke 04,Schalke 04,True
wikipedia,bundesliga,2012/13,Werder Bremen,Werder Bremen,True
wikipedia,bundesliga,2012/13,VfL Wolfsburg,Wolfsburg,True
wikipedia,bundesliga,2013/14,Bayer Leverkusen,Leverkusen,True
wikipedia,bundesliga,2013/14,Bayern Munich,Bayern Munich,True
wikipedia,bundesliga,2013/14,Hamburger SV,Hamburg,True
wikipedia,bundesliga,2013/14,Hannover 96,Hannover,True
wikipedia,bundesliga,2013/14,1. FC Nürnberg,Nurnberg,True
wikipedia,bundesliga,2013/14,VfB Stuttgart,Stuttgart,True
wikipedia,bundesliga,2013/14,Werder Bremen,Werder Bremen,True
wikipedia,bundesliga,2014/15,Bayer Leverkusen,Leverkusen,True
wikipedia,bundesliga,2014/15,Eintracht Frankfurt,Ein Frankfurt,True
wikipedia,bundesliga,2014/15,Hamburger SV,Hamburg,True
wikipedia,bundesliga,2014/15,Hannover 96,Hannover,True
wikipedia,bundesliga,2014/15,Hertha BSC,Hertha,True
wikipedia,bundesliga,2014/15,Mainz 05,Mainz,True
wikipedia,bundesliga,2014/15,Schalke 04,Schalke 04,True
wikipedia,bundesliga,2014/15,VfB Stuttgart,Stuttgart,True
wikipedia,bundesliga,2014/15,Werder Bremen,Werder Bremen,True
wikipedia,bundesliga,2015/16,1899 Hoffenheim,Hoffenheim,True
wikipedia,bundesliga,2015/16,Borussia Dortmund,Dortmund,True
wikipedia,bundesliga,2015/16,Borussia Mönchengladbach,M'gladbach,True
wikipedia,bundesliga,2015/16,Eintracht Frankfurt,Ein Frankfurt,True
wikipedia,bundesliga,2015/16,Hannover 96,Hannover,True
